eventId,entrantId,positionOrder,positionText,time,laps,q1Time,q2Time,q3Time
1950-01,2,1,1,110800,,,,
1950-01,3,2,2,111000,,,,
1950-01,1,3,3,111000,,,,
1950-01,4,4,4,112200,,,,
1950-01,21,5,5,112600,,,,
1950-01,14,6,6,113400,,,,
1950-01,17,7,7,115400,,,,
1950-01,20,8,8,115800,,,,
1950-01,15,9,9,116000,,,,
1950-01,9,10,10,116600,,,,
1950-01,19,11,11,116600,,,,
1950-01,7,12,12,117400,,,,
1950-01,13,13,13,117400,,,,
1950-01,16,14,14,117800,,,,
1950-01,12,15,15,118400,,,,
1950-01,6,16,16,121000,,,,
1950-01,24,17,17,122600,,,,
1950-01,5,18,18,125600,,,,
1950-01,23,19,19,126200,,,,
1950-01,10,20,20,127000,,,,
1950-01,18,21,21,128800,,,,
1950-02,40,1,1,110200,,,,
1950-02,39,2,2,112800,,,,
1950-02,25,3,3,113700,,,,
1950-02,31,4,4,114100,,,,
1950-02,41,5,5,114200,,,,
1950-02,42,6,6,112300,,,,
1950-02,43,7,7,113800,,,,
1950-02,47,8,8,116300,,,,
1950-02,44,9,9,116600,,,,
1950-02,32,10,10,117700,,,,
1950-02,29,11,11,120400,,,,
1950-02,49,12,12,120700,,,,
1950-02,30,13,13,121400,,,,
1950-02,36,14,14,121600,,,,
1950-02,48,15,15,122200,,,,
1950-02,37,16,16,123400,,,,
1950-02,45,17,17,124500,,,,
1950-02,26,18,18,,,,,
1950-02,27,19,19,132000,,,,
1950-02,28,20,20,,,,,
1950-02,38,21,21,,,,,
1950-03,98,1,1,267970,,,,
1950-03,74,2,2,271100,,,,
1950-03,59,3,3,272070,,,,
1950-03,55,4,4,272390,,,,
1950-03,51,5,5,272640,,,,
1950-03,82,6,6,273000,,,,
1950-03,91,7,7,274670,,,,
1950-03,62,8,8,274920,,,,
1950-03,65,9,9,275320,,,,
1950-03,53,10,10,275900,,,,
1950-03,85,11,11,277760,,,,
1950-03,83,12,12,270860,,,,
1950-03,66,13,13,273420,,,,
1950-03,67,14,14,277460,,,,
1950-03,95,15,15,277950,,,,
1950-03,52,16,16,273320,,,,
1950-03,71,17,17,274430,,,,
1950-03,81,18,18,274960,,,,
1950-03,56,19,19,275250,,,,
1950-03,54,20,20,275960,,,,
1950-03,61,21,21,277680,,,,
1950-03,90,22,22,271310,,,,
1950-03,57,23,23,271830,,,,
1950-03,84,24,24,272910,,,,
1950-03,69,25,25,273570,,,,
1950-03,63,26,26,275470,,,,
1950-03,68,27,27,276070,,,,
1950-03,93,28,28,277010,,,,
1950-03,73,29,29,277050,,,,
1950-03,94,30,30,277570,,,,
1950-03,92,31,31,278610,,,,
1950-03,86,32,32,278620,,,,
1950-03,87,33,33,277580,,,,
1950-04,106,1,1,162100,,,,
1950-04,107,2,2,162800,,,,
1950-04,105,3,3,165200,,,,
1950-04,110,4,4,166100,,,,
1950-04,108,5,5,166800,,,,
1950-04,119,6,6,171100,,,,
1950-04,102,7,7,172700,,,,
1950-04,114,8,8,173200,,,,
1950-04,103,9,9,173700,,,,
1950-04,104,10,10,174000,,,,
1950-04,115,11,11,174200,,,,
1950-04,116,12,12,174600,,,,
1950-04,109,13,13,174600,,,,
1950-04,101,14,14,179000,,,,
1950-04,100,15,15,186900,,,,
1950-04,112,16,16,186900,,,,
1950-04,118,17,17,190000,,,,
1950-04,120,18,18,191500,,,,
1950-05,124,1,1,277000,,,,
1950-05,125,2,2,277000,,,,
1950-05,105,3,3,281000,,,,
1950-05,121,4,4,287000,,,,
1950-05,123,5,5,287000,,,,
1950-05,127,6,6,289000,,,,
1950-05,122,7,7,292000,,,,
1950-05,126,8,8,293000,,,,
1950-05,128,9,9,296000,,,,
1950-05,35,10,10,301000,,,,
1950-05,129,11,11,313000,,,,
1950-05,131,12,12,344000,,,,
1950-05,132,13,13,345000,,,,
1950-05,130,14,14,,,,,
1950-06,134,1,1,150600,,,,
1950-06,2,2,2,152500,,,,
1950-06,133,3,3,154700,,,,
1950-06,140,4,4,159000,,,,
1950-06,128,5,5,162700,,,,
1950-06,141,6,6,166000,,,,
1950-06,113,7,7,166700,,,,
1950-06,148,8,8,168000,,,,
1950-06,35,9,9,169000,,,,
1950-06,139,10,10,,,,,
1950-06,150,11,11,171000,,,,
1950-06,145,12,12,174000,,,,
1950-06,152,13,13,175500,,,,
1950-06,144,14,14,175900,,,,
1950-06,151,15,15,177400,,,,
1950-06,143,16,16,178000,,,,
1950-06,137,17,17,179300,,,,
1950-06,146,18,18,179500,,,,
1950-06,138,19,19,181000,,,,
1950-07,159,1,1,118600,,,,
1950-07,158,2,2,118800,,,,
1950-07,156,3,3,120200,,,,
1950-07,170,4,4,120400,,,,
1950-07,41,5,5,124000,,,,
1950-07,171,6,6,125200,,,,
1950-07,174,7,7,125800,,,,
1950-07,157,8,8,128600,,,,
1950-07,161,9,9,130000,,,,
1950-07,152,10,10,132400,,,,
1950-07,168,11,11,133200,,,,
1950-07,169,12,12,133400,,,,
1950-07,176,13,13,133400,,,,
1950-07,178,14,14,133800,,,,
1950-07,114,15,15,134000,,,,
1950-07,163,16,16,134400,,,,
1950-07,167,17,17,134400,,,,
1950-07,155,18,18,136200,,,,
1950-07,154,19,19,137200,,,,
1950-07,175,20,20,137200,,,,
1950-07,166,21,21,138400,,,,
1950-07,153,22,22,138600,,,,
1950-07,173,23,23,139800,,,,
1950-07,172,24,24,142000,,,,
1950-07,162,25,25,150600,,,,
1950-07,177,26,26,153600,,,,
1950-07,165,27,27,180400,,,,
1951-01,190,1,1,155900,,,,
1951-01,189,2,2,157800,,,,
1951-01,187,3,3,159300,,,,
1951-01,192,4,4,160300,,,,
1951-01,191,5,5,161800,,,,
1951-01,198,6,6,165200,,,,
1951-01,188,7,7,166000,,,,
1951-01,182,8,8,172700,,,,
1951-01,186,9,9,172900,,,,
1951-01,195,10,10,174100,,,,
1951-01,183,11,11,176200,,,,
1951-01,180,12,12,177300,,,,
1951-01,197,13,13,177300,,,,
1951-01,185,14,14,178400,,,,
1951-01,181,15,15,180300,,,,
1951-01,202,16,16,181600,,,,
1951-01,194,17,17,182400,,,,
1951-01,179,18,18,182500,,,,
1951-01,193,19,19,183100,,,,
1951-01,184,20,20,183800,,,,
1951-01,196,21,21,192000,,,,
1951-02,217,1,1,263740,,,,
1951-02,247,2,2,266590,,,,
1951-02,212,3,3,268050,,,,
1951-02,224,4,4,269160,,,,
1951-02,216,5,5,269820,,,,
1951-02,246,6,6,272080,,,,
1951-02,245,7,7,272350,,,,
1951-02,205,8,8,272410,,,,
1951-02,207,9,9,272830,,,,
1951-02,206,10,10,272950,,,,
1951-02,235,11,11,266610,,,,
1951-02,222,12,12,270680,,,,
1951-02,229,13,13,272920,,,,
1951-02,204,14,14,263020,,,,
1951-02,242,15,15,265460,,,,
1951-02,213,16,16,268590,,,,
1951-02,203,17,17,268860,,,,
1951-02,220,18,18,268980,,,,
1951-02,210,19,19,269130,,,,
1951-02,244,20,20,269210,,,,
1951-02,219,21,21,269960,,,,
1951-02,239,22,22,270470,,,,
1951-02,218,23,23,270830,,,,
1951-02,238,24,24,270900,,,,
1951-02,231,25,25,266930,,,,
1951-02,214,26,26,271750,,,,
1951-02,243,27,27,269630,,,,
1951-02,226,28,28,265100,,,,
1951-02,232,29,29,268460,,,,
1951-02,223,30,30,268460,,,,
1951-02,234,31,31,272260,,,,
1951-02,208,32,32,272780,,,,
1951-02,240,33,33,278820,,,,
1951-03,248,1,1,265000,,,,
1951-03,249,2,2,268000,,,,
1951-03,252,3,3,269000,,,,
1951-03,251,4,4,270000,,,,
1951-03,253,5,5,272000,,,,
1951-03,250,6,6,276000,,,,
1951-03,254,7,7,285000,,,,
1951-03,258,8,8,292000,,,,
1951-03,256,9,9,301000,,,,
1951-03,257,10,10,304000,,,,
1951-03,255,11,11,309000,,,,
1951-03,259,12,12,316000,,,,
1951-03,260,13,13,317000,,,,
1951-04,265,1,1,145700,,,,
1951-04,264,2,2,147400,,,,
1951-04,268,3,3,148100,,,,
1951-04,267,4,4,148500,,,,
1951-04,250,5,5,148900,,,,
1951-04,269,6,6,150800,,,,
1951-04,266,7,7,153100,,,,
1951-04,284,8,8,163700,,,,
1951-04,275,9,9,164000,,,,
1951-04,282,10,10,164800,,,,
1951-04,286,11,11,165700,,,,
1951-04,277,12,12,166600,,,,
1951-04,283,13,13,168000,,,,
1951-04,285,14,14,169600,,,,
1951-04,288,15,15,169800,,,,
1951-04,271,16,16,170100,,,,
1951-04,281,17,17,170300,,,,
1951-04,279,18,18,170300,,,,
1951-04,287,19,19,178400,,,,
1951-04,274,20,20,179000,,,,
1951-04,280,21,21,179500,,,,
1951-04,272,22,22,182000,,,,
1951-04,278,23,23,186000,,,,
1951-05,298,1,1,103400,,,,
1951-05,248,2,2,104400,,,,
1951-05,289,3,3,105000,,,,
1951-05,297,4,4,105400,,,,
1951-05,267,5,5,105800,,,,
1951-05,290,6,6,110200,,,,
1951-05,291,7,7,112000,,,,
1951-05,299,8,8,114600,,,,
1951-05,307,9,9,116000,,,,
1951-05,295,10,10,117000,,,,
1951-05,303,11,11,117200,,,,
1951-05,296,12,12,118200,,,,
1951-05,308,13,13,120200,,,,
1951-05,310,14,14,125800,,,,
1951-05,300,15,15,126000,,,,
1951-05,302,16,16,133200,,,,
1951-05,301,17,17,137000,,,,
1951-05,292,18,18,138400,,,,
1951-05,294,19,19,,,,,
1951-05,293,20,20,,,,,
1951-06,311,1,1,595800,,,,
1951-06,314,2,2,597500,,,,
1951-06,315,3,3,599000,,,,
1951-06,316,4,4,601000,,,,
1951-06,312,5,5,606600,,,,
1951-06,313,6,6,612900,,,,
1951-06,318,7,7,615700,,,,
1951-06,331,8,8,623800,,,,
1951-06,322,9,9,628900,,,,
1951-06,317,10,10,646100,,,,
1951-06,327,11,11,652800,,,,
1951-06,323,12,12,657500,,,,
1951-06,325,13,13,660200,,,,
1951-06,321,14,14,667500,,,,
1951-06,324,15,15,668200,,,,
1951-06,319,16,16,685600,,,,
1951-06,332,17,17,686700,,,,
1951-06,334,18,18,693600,,,,
1951-06,330,19,19,701900,,,,
1951-06,328,20,20,709300,,,,
1951-06,326,21,21,712900,,,,
1951-06,333,22,22,729100,,,,
1951-07,354,1,1,113200,,,,
1951-07,351,2,2,113900,,,,
1951-07,337,3,3,115100,,,,
1951-07,339,4,4,115900,,,,
1951-07,338,5,5,117900,,,,
1951-07,340,6,6,118200,,,,
1951-07,355,7,7,118300,,,,
1951-07,348,8,8,122200,,,,
1951-07,352,9,9,125200,,,,
1951-07,349,10,10,125600,,,,
1951-07,358,11,11,128000,,,,
1951-07,360,12,12,128900,,,,
1951-07,357,13,13,129000,,,,
1951-07,345,14,14,129300,,,,
1951-07,343,15,15,130800,,,,
1951-07,341,16,16,131200,,,,
1951-07,344,17,17,132100,,,,
1951-07,356,18,18,133400,,,,
1951-07,186,19,19,136200,,,,
1951-07,35,20,20,136500,,,,
1951-07,346,21,21,138600,,,,
1951-07,347,22,22,138800,,,,
1951-08,337,1,1,130590,,,,
1951-08,367,2,2,132270,,,,
1951-08,339,3,3,134010,,,,
1951-08,366,4,4,134940,,,,
1951-08,338,5,5,136380,,,,
1951-08,191,6,6,136400,,,,
1951-08,340,7,7,136800,,,,
1951-08,368,8,8,141800,,,,
1951-08,363,9,9,143810,,,,
1951-08,364,10,10,144600,,,,
1951-08,362,11,11,145250,,,,
1951-08,370,12,12,150320,,,,
1951-08,372,13,13,151000,,,,
1951-08,371,14,14,152180,,,,
1951-08,373,15,15,154460,,,,
1951-08,374,16,16,156580,,,,
1951-08,376,17,17,157450,,,,
1951-08,377,18,18,161990,,,,
1951-08,365,19,19,165990,,,,
1951-08,369,20,20,166780,,,,
1952-01,393,1,1,167500,,,,
1952-01,394,2,2,170100,,,,
1952-01,383,3,3,172100,,,,
1952-01,395,4,4,172400,,,,
1952-01,400,5,5,173300,,,,
1952-01,388,6,6,175900,,,,
1952-01,382,7,7,175900,,,,
1952-01,398,8,8,176400,,,,
1952-01,403,9,9,176400,,,,
1952-01,387,10,10,176900,,,,
1952-01,384,11,11,179300,,,,
1952-01,389,12,12,180200,,,,
1952-01,390,13,13,180900,,,,
1952-01,380,14,14,181700,,,,
1952-01,392,15,15,182500,,,,
1952-01,381,16,16,185600,,,,
1952-01,391,17,17,185800,,,,
1952-01,399,18,18,187600,,,,
1952-01,401,19,19,190200,,,,
1952-01,385,20,20,,,,,
1952-01,404,21,21,,,,,
1952-01,386,22,22,,,,,
1952-02,427,1,1,260850,,,,
1952-02,413,2,2,262770,,,,
1952-02,408,3,3,263420,,,,
1952-02,433,4,4,264340,,,,
1952-02,419,5,5,265220,,,,
1952-02,405,6,6,265640,,,,
1952-02,459,7,7,265950,,,,
1952-02,425,8,8,260470,,,,
1952-02,422,9,9,263510,,,,
1952-02,445,10,10,264040,,,,
1952-02,418,11,11,264430,,,,
1952-02,406,12,12,264780,,,,
1952-02,448,13,13,264810,,,,
1952-02,443,14,14,265470,,,,
1952-02,411,15,15,266690,,,,
1952-02,416,16,16,266760,,,,
1952-02,417,17,17,267210,,,,
1952-02,450,18,18,267970,,,,
1952-02,415,19,19,268040,,,,
1952-02,430,20,20,268080,,,,
1952-02,455,21,21,268370,,,,
1952-02,431,22,22,268380,,,,
1952-02,434,23,23,268670,,,,
1952-02,456,24,24,268710,,,,
1952-02,457,25,25,268750,,,,
1952-02,428,26,26,268850,,,,
1952-02,421,27,27,258930,,,,
1952-02,412,28,28,264740,,,,
1952-02,439,29,29,264800,,,,
1952-02,426,30,30,265910,,,,
1952-02,409,31,31,266020,,,,
1952-02,442,32,32,266700,,,,
1952-02,429,33,33,268780,,,,
1952-03,462,1,1,277000,,,,
1952-03,461,2,2,280000,,,,
1952-03,463,3,3,286000,,,,
1952-03,467,4,4,292000,,,,
1952-03,468,5,5,296000,,,,
1952-03,464,6,6,298000,,,,
1952-03,478,7,7,301000,,,,
1952-03,474,8,8,305000,,,,
1952-03,465,9,9,307000,,,,
1952-03,476,10,10,308000,,,,
1952-03,473,11,11,310000,,,,
1952-03,466,12,12,312000,,,,
1952-03,477,13,13,313000,,,,
1952-03,472,14,14,315000,,,,
1952-03,480,15,15,317000,,,,
1952-03,481,16,16,320000,,,,
1952-03,471,17,17,323000,,,,
1952-03,470,18,18,329000,,,,
1952-03,469,19,19,333000,,,,
1952-03,475,20,20,335000,,,,
1952-03,479,21,21,337000,,,,
1952-03,482,22,22,360000,,,,
1952-04,486,1,1,134800,,,,
1952-04,487,2,2,136200,,,,
1952-04,488,3,3,137100,,,,
1952-04,484,4,4,139300,,,,
1952-04,483,5,5,140400,,,,
1952-04,499,6,6,141600,,,,
1952-04,493,7,7,141900,,,,
1952-04,485,8,8,143000,,,,
1952-04,490,9,9,147000,,,,
1952-04,494,10,10,147500,,,,
1952-04,491,11,11,148600,,,,
1952-04,492,12,12,149000,,,,
1952-04,495,13,13,149500,,,,
1952-04,389,14,14,150900,,,,
1952-04,507,15,15,152000,,,,
1952-04,497,16,16,153700,,,,
1952-04,501,17,17,154600,,,,
1952-04,505,18,18,156000,,,,
1952-04,506,19,19,157700,,,,
1952-04,500,20,20,159600,,,,
1952-05,523,1,1,110000,,,,
1952-05,522,2,2,110000,,,,
1952-05,524,3,3,113000,,,,
1952-05,530,4,4,114000,,,,
1952-05,512,5,5,116000,,,,
1952-05,516,6,6,116000,,,,
1952-05,517,7,7,116000,,,,
1952-05,514,8,8,116000,,,,
1952-05,513,9,9,117000,,,,
1952-05,532,10,10,117000,,,,
1952-05,536,11,11,117000,,,,
1952-05,509,12,12,118000,,,,
1952-05,519,13,13,118000,,,,
1952-05,535,14,14,118000,,,,
1952-05,526,15,15,118000,,,,
1952-05,520,16,16,119000,,,,
1952-05,511,17,17,120000,,,,
1952-05,518,18,18,120000,,,,
1952-05,521,19,19,120000,,,,
1952-05,528,20,20,120000,,,,
1952-05,531,21,21,120000,,,,
1952-05,515,22,22,122000,,,,
1952-05,533,23,23,122000,,,,
1952-05,527,24,24,123000,,,,
1952-05,529,25,25,123000,,,,
1952-05,534,26,26,125000,,,,
1952-05,541,27,27,126000,,,,
1952-05,540,28,28,127000,,,,
1952-05,537,29,29,128000,,,,
1952-05,510,30,30,208000,,,,
1952-05,538,31,31,,,,,
1952-05,539,32,32,,,,,
1952-06,542,1,1,604400,,,,
1952-06,543,2,2,607300,,,,
1952-06,549,3,3,619100,,,,
1952-06,547,4,4,625300,,,,
1952-06,544,5,5,626300,,,,
1952-06,557,6,6,641900,,,,
1952-06,567,7,7,656300,,,,
1952-06,568,8,8,,,,,
1952-06,563,9,9,,,,,
1952-06,546,10,10,,,,,
1952-06,548,11,11,,,,,
1952-06,561,12,12,,,,,
1952-06,552,13,13,,,,,
1952-06,560,14,14,,,,,
1952-06,565,15,15,,,,,
1952-06,555,16,16,,,,,
1952-06,559,17,17,,,,,
1952-06,562,18,18,,,,,
1952-06,566,19,19,,,,,
1952-06,569,20,20,,,,,
1952-06,554,21,21,,,,,
1952-06,564,22,22,,,,,
1952-06,575,23,23,,,,,
1952-06,558,24,24,,,,,
1952-06,550,25,25,,,,,
1952-06,556,26,26,,,,,
1952-06,545,27,27,,,,,
1952-06,574,28,29,,,,,
1952-06,570,29,30,,,,,
1952-06,553,30,32,,,,,
1952-07,576,1,1,106500,,,,
1952-07,577,2,2,108600,,,,
1952-07,594,3,3,111600,,,,
1952-07,578,4,4,111800,,,,
1952-07,581,5,5,113000,,,,
1952-07,579,6,6,114500,,,,
1952-07,595,7,7,114700,,,,
1952-07,580,8,8,114800,,,,
1952-07,591,9,9,115200,,,,
1952-07,592,10,10,115800,,,,
1952-07,583,11,11,118200,,,,
1952-07,585,12,12,118200,,,,
1952-07,588,13,13,118600,,,,
1952-07,593,14,14,119400,,,,
1952-07,587,15,15,121800,,,,
1952-07,584,16,16,122100,,,,
1952-07,589,17,17,123700,,,,
1952-07,596,18,18,124500,,,,
1952-08,599,1,1,125700,,,,
1952-08,601,2,2,126600,,,,
1952-08,487,3,3,127000,,,,
1952-08,597,4,4,127200,,,,
1952-08,606,5,5,127600,,,,
1952-08,600,6,6,127800,,,,
1952-08,483,7,7,128200,,,,
1952-08,598,8,8,129100,,,,
1952-08,609,9,9,129800,,,,
1952-08,610,10,10,130600,,,,
1952-08,382,11,11,130800,,,,
1952-08,614,12,12,131200,,,,
1952-08,604,13,13,131600,,,,
1952-08,602,14,14,131800,,,,
1952-08,613,15,15,132200,,,,
1952-08,605,16,16,132700,,,,
1952-08,624,17,17,132700,,,,
1952-08,617,18,18,133000,,,,
1952-08,608,19,19,134000,,,,
1952-08,611,20,20,134000,,,,
1952-08,612,21,21,135000,,,,
1952-08,607,22,22,135100,,,,
1952-08,618,23,23,135900,,,,
1952-08,616,24,24,137100,,,,
1952-08,628,25,25,137500,,,,
1952-08,622,26,26,137800,,,,
1952-08,623,27,27,138400,,,,
1952-08,620,28,28,138600,,,,
1952-08,627,29,29,138800,,,,
1952-08,621,30,30,140300,,,,
1952-08,625,31,31,140700,,,,
1952-08,619,32,32,141000,,,,
1952-08,603,33,33,142800,,,,
1952-08,626,34,34,,,,,
1952-08,615,35,35,,,,,
1953-01,633,1,1,115400,,,,
1953-01,629,2,2,116100,,,,
1953-01,635,3,3,116500,,,,
1953-01,634,4,4,117100,,,,
1953-01,630,5,5,118500,,,,
1953-01,636,6,6,119400,,,,
1953-01,642,7,7,120400,,,,
1953-01,640,8,8,120900,,,,
1953-01,632,9,9,121300,,,,
1953-01,644,10,10,121800,,,,
1953-01,643,11,11,122600,,,,
1953-01,637,12,12,123200,,,,
1953-01,639,13,13,123700,,,,
1953-01,645,14,14,123800,,,,
1953-01,631,15,15,124200,,,,
1953-01,638,16,16,126800,,,,
1953-02,656,1,1,260130,,,,
1953-02,683,2,2,261730,,,,
1953-02,649,3,3,263540,,,,
1953-02,701,4,4,263960,,,,
1953-02,669,5,5,264590,,,,
1953-02,708,6,6,264660,,,,
1953-02,681,7,7,265230,,,,
1953-02,659,8,8,261500,,,,
1953-02,647,9,9,261760,,,,
1953-02,704,10,10,261880,,,,
1953-02,667,11,11,261950,,,,
1953-02,658,12,12,262180,,,,
1953-02,674,13,13,262270,,,,
1953-02,661,14,14,262550,,,,
1953-02,672,15,15,263030,,,,
1953-02,707,16,16,263620,,,,
1953-02,651,17,17,264280,,,,
1953-02,685,18,18,264380,,,,
1953-02,689,19,19,264830,,,,
1953-02,655,20,20,264850,,,,
1953-02,676,21,21,265200,,,,
1953-02,660,22,22,265250,,,,
1953-02,696,23,23,265280,,,,
1953-02,691,24,24,265350,,,,
1953-02,646,25,25,265360,,,,
1953-02,653,26,26,265760,,,,
1953-02,648,27,27,266140,,,,
1953-02,677,28,28,261120,,,,
1953-02,678,29,29,263020,,,,
1953-02,692,30,30,264520,,,,
1953-02,652,31,31,265760,,,,
1953-02,680,32,32,266150,,,,
1953-02,682,33,33,266150,,,,
1953-03,710,1,1,111100,,,,
1953-03,715,2,2,112700,,,,
1953-03,712,3,3,113000,,,,
1953-03,711,4,4,113700,,,,
1953-03,716,5,5,114100,,,,
1953-03,713,6,6,114600,,,,
1953-03,718,7,7,118700,,,,
1953-03,714,8,8,119500,,,,
1953-03,727,9,9,120000,,,,
1953-03,719,10,10,120100,,,,
1953-03,723,11,11,120500,,,,
1953-03,722,12,12,121200,,,,
1953-03,717,13,13,121500,,,,
1953-03,724,14,14,121900,,,,
1953-03,729,15,15,122400,,,,
1953-03,728,16,16,123100,,,,
1953-03,725,17,17,123900,,,,
1953-03,726,18,18,126400,,,,
1953-03,721,19,19,128500,,,,
1953-03,730,20,20,,,,,
1953-04,732,1,1,270100,,,,
1953-04,633,2,2,272000,,,,
1953-04,731,3,3,272000,,,,
1953-04,634,4,4,276000,,,,
1953-04,734,5,5,279000,,,,
1953-04,741,6,6,280000,,,,
1953-04,735,7,7,282000,,,,
1953-04,737,8,8,285000,,,,
1953-04,742,9,9,289000,,,,
1953-04,733,10,10,290000,,,,
1953-04,739,11,11,292000,,,,
1953-04,719,12,12,293000,,,,
1953-04,743,13,13,296000,,,,
1953-04,736,14,14,297000,,,,
1953-04,746,15,15,303000,,,,
1953-04,740,16,16,303000,,,,
1953-04,738,17,17,314000,,,,
1953-04,747,18,18,323000,,,,
1953-04,745,19,19,341000,,,,
1953-04,744,20,20,358000,,,,
1953-04,748,21,21,,,,,
1953-04,749,22,22,,,,,
1953-05,633,1,1,161200,,,,
1953-05,759,2,2,161500,,,,
1953-05,754,3,3,161900,,,,
1953-05,756,4,4,162000,,,,
1953-05,757,5,5,162400,,,,
1953-05,755,6,6,162500,,,,
1953-05,636,7,7,163500,,,,
1953-05,758,8,8,164700,,,,
1953-05,769,9,9,166100,,,,
1953-05,768,10,10,169600,,,,
1953-05,767,11,11,173200,,,,
1953-05,765,12,12,174200,,,,
1953-05,764,13,13,175700,,,,
1953-05,766,14,14,175800,,,,
1953-05,610,15,15,176900,,,,
1953-05,760,16,16,177200,,,,
1953-05,761,17,17,182000,,,,
1953-05,762,18,18,186700,,,,
1953-05,771,19,19,203000,,,,
1953-05,752,20,20,205800,,,,
1953-05,770,21,21,246500,,,,
1953-05,750,22,22,,,,,
1953-05,751,23,23,,,,,
1953-05,753,24,24,,,,,
1953-05,763,25,25,,,,,
1953-06,776,1,1,108000,,,,
1953-06,792,2,2,109000,,,,
1953-06,713,3,3,109000,,,,
1953-06,791,4,4,110000,,,,
1953-06,712,5,5,110000,,,,
1953-06,777,6,6,111000,,,,
1953-06,794,7,7,111000,,,,
1953-06,796,8,8,112000,,,,
1953-06,641,9,9,112000,,,,
1953-06,782,10,10,114000,,,,
1953-06,784,11,11,114000,,,,
1953-06,772,12,12,117000,,,,
1953-06,780,13,13,117000,,,,
1953-06,788,14,14,117000,,,,
1953-06,786,15,15,118000,,,,
1953-06,793,16,16,118000,,,,
1953-06,774,17,17,122000,,,,
1953-06,785,18,18,122000,,,,
1953-06,779,19,19,124000,,,,
1953-06,783,20,20,124000,,,,
1953-06,787,21,21,124000,,,,
1953-06,643,22,22,124000,,,,
1953-06,773,23,23,126000,,,,
1953-06,778,24,24,127000,,,,
1953-06,790,25,25,127000,,,,
1953-06,797,26,26,129000,,,,
1953-06,775,27,27,152000,,,,
1953-06,781,28,28,,,,,
1953-06,795,29,29,,,,,
1953-07,798,1,1,599800,,,,
1953-07,801,2,2,603700,,,,
1953-07,799,3,3,604100,,,,
1953-07,800,4,4,612600,,,,
1953-07,806,5,5,621700,,,,
1953-07,711,6,6,622800,,,,
1953-07,803,7,7,640800,,,,
1953-07,804,8,8,641000,,,,
1953-07,805,9,9,645500,,,,
1953-07,807,10,10,646200,,,,
1953-07,812,11,11,646600,,,,
1953-07,814,12,12,648300,,,,
1953-07,810,13,13,657500,,,,
1953-07,825,14,14,659800,,,,
1953-07,809,15,15,662100,,,,
1953-07,811,16,16,667300,,,,
1953-07,832,17,17,668700,,,,
1953-07,818,18,18,678000,,,,
1953-07,813,19,19,678900,,,,
1953-07,834,20,20,682100,,,,
1953-07,822,21,21,683400,,,,
1953-07,815,22,22,687400,,,,
1953-07,816,23,23,697200,,,,
1953-07,829,24,24,700800,,,,
1953-07,808,25,25,705500,,,,
1953-07,830,26,26,709500,,,,
1953-07,828,27,27,713100,,,,
1953-07,819,28,28,716300,,,,
1953-07,817,29,29,719300,,,,
1953-07,835,30,30,733300,,,,
1953-07,824,31,31,736800,,,,
1953-07,831,32,32,744600,,,,
1953-07,826,33,33,,,,,
1953-07,820,34,34,,,,,
1953-07,833,35,35,,,,,
1953-08,851,1,1,160100,,,,
1953-08,858,2,2,160700,,,,
1953-08,847,3,3,162600,,,,
1953-08,839,4,4,163800,,,,
1953-08,853,5,5,164500,,,,
1953-08,849,6,6,164600,,,,
1953-08,848,7,7,168100,,,,
1953-08,856,8,8,169900,,,,
1953-08,845,9,9,171500,,,,
1953-08,850,10,10,172000,,,,
1953-08,852,11,11,174800,,,,
1953-08,838,12,12,175000,,,,
1953-08,836,13,13,175100,,,,
1953-08,840,14,14,175400,,,,
1953-08,843,15,15,177100,,,,
1953-08,842,16,16,177900,,,,
1953-08,854,17,17,181500,,,,
1953-08,844,18,18,187400,,,,
1953-08,855,19,19,201100,,,,
1953-08,837,20,20,209700,,,,
1953-09,860,1,1,122700,,,,
1953-09,879,2,2,123200,,,,
1953-09,712,3,3,123900,,,,
1953-09,881,4,4,124100,,,,
1953-09,859,5,5,124600,,,,
1953-09,713,6,6,124900,,,,
1953-09,880,7,7,125100,,,,
1953-09,872,8,8,125700,,,,
1953-09,884,9,9,125900,,,,
1953-09,870,10,10,126600,,,,
1953-09,861,11,11,126900,,,,
1953-09,882,12,12,127500,,,,
1953-09,610,13,13,127800,,,,
1953-09,867,14,14,128000,,,,
1953-09,873,15,15,128000,,,,
1953-09,874,16,16,128700,,,,
1953-09,885,17,17,129300,,,,
1953-09,868,18,18,129500,,,,
1953-09,871,19,19,130100,,,,
1953-09,862,20,20,131200,,,,
1953-09,875,21,21,132800,,,,
1953-09,866,22,22,133500,,,,
1953-09,876,23,23,133600,,,,
1953-09,877,24,24,134800,,,,
1953-09,763,25,25,135000,,,,
1953-09,865,26,26,138100,,,,
1953-09,863,27,27,138200,,,,
1953-09,864,28,28,140800,,,,
1953-09,878,29,29,144100,,,,
1953-09,869,30,30,148200,,,,
1954-01,890,1,1,104800,,,,
1954-01,891,2,2,104900,,,,
1954-01,886,3,3,105600,,,,
1954-01,892,4,4,107000,,,,
1954-01,898,5,5,107400,,,,
1954-01,887,6,6,107400,,,,
1954-01,888,7,7,108200,,,,
1954-01,901,8,8,109000,,,,
1954-01,903,9,9,109200,,,,
1954-01,889,10,10,109300,,,,
1954-01,899,11,11,110000,,,,
1954-01,893,12,12,110200,,,,
