alpha2Code,alpha3Code,region,subregion
AW,ABW,Americas,Caribbean
AF,AFG,Asia,Southern Asia
AO,AGO,Africa,Middle Africa
AI,AIA,Americas,Caribbean
AX,ALA,Europe,Northern Europe
AL,ALB,Europe,Southeast Europe
AD,AND,Europe,Southern Europe
AE,ARE,Asia,Western Asia
AR,ARG,Americas,South America
AM,ARM,Asia,Western Asia
AS,ASM,Oceania,Polynesia
AQ,ATA,Antarctic,
TF,ATF,Antarctic,
AG,ATG,Americas,Caribbean
AU,AUS,Oceania,Australia and New Zealand
AT,AUT,Europe,Central Europe
AZ,AZE,Asia,Western Asia
BI,BDI,Africa,Eastern Africa
BE,BEL,Europe,Western Europe
BJ,BEN,Africa,Western Africa
BF,BFA,Africa,Western Africa
BD,BGD,Asia,Southern Asia
BG,BGR,Europe,Southeast Europe
BH,BHR,Asia,Western Asia
BS,BHS,Americas,Caribbean
BA,BIH,Europe,Southeast Europe
BL,BLM,Americas,Caribbean
SH,SHN,Africa,Western Africa
BY,BLR,Europe,Eastern Europe
BZ,BLZ,Americas,Central America
BM,BMU,Americas,North America
BO,BOL,Americas,South America
BQ,BES,Americas,Caribbean
BR,BRA,Americas,South America
BB,BRB,Americas,Caribbean
BN,BRN,Asia,South-Eastern Asia
BT,BTN,Asia,Southern Asia
BV,BVT,Antarctic,
BW,BWA,Africa,Southern Africa
CF,CAF,Africa,Middle Africa
CA,CAN,Americas,North America
CC,CCK,Oceania,Australia and New Zealand
CH,CHE,Europe,Western Europe
CL,CHL,Americas,South America
CN,CHN,Asia,Eastern Asia
CI,CIV,Africa,Western Africa
CM,CMR,Africa,Middle Africa
CD,COD,Africa,Middle Africa
CG,COG,Africa,Middle Africa
CK,COK,Oceania,Polynesia
CO,COL,Americas,South America
KM,COM,Africa,Eastern Africa
CV,CPV,Africa,Western Africa
CR,CRI,Americas,Central America
CU,CUB,Americas,Caribbean
CW,CUW,Americas,Caribbean
CX,CXR,Oceania,Australia and New Zealand
KY,CYM,Americas,Caribbean
CY,CYP,Europe,Southern Europe
CZ,CZE,Europe,Central Europe
DE,DEU,Europe,Western Europe
DJ,DJI,Africa,Eastern Africa
DM,DMA,Americas,Caribbean
DK,DNK,Europe,Northern Europe
DO,DOM,Americas,Caribbean
DZ,DZA,Africa,Northern Africa
EC,ECU,Americas,South America
EG,EGY,Africa,Northern Africa
ER,ERI,Africa,Eastern Africa
EH,ESH,Africa,Northern Africa
ES,ESP,Europe,Southern Europe
EE,EST,Europe,Northern Europe
ET,ETH,Africa,Eastern Africa
FI,FIN,Europe,Northern Europe
FJ,FJI,Oceania,Melanesia
FK,FLK,Americas,South America
FR,FRA,Europe,Western Europe
FO,FRO,Europe,Northern Europe
FM,FSM,Oceania,Micronesia
